record_id,name_code,reference_type,reference_id,reference_code,database_id
32660,f51c11b6-a2bd-4789-a9bc-3bfd91a76fd8,NomRef,4014,7621b8ae-44d7-42f2-8b96-4d54db56e735,25
30590,8aca4040-dae5-496c-a103-b135a250927e,NomRef,2844,51c811a9-dc81-4dd7-9380-1285c24ec0ca,42
36478,b8c11ba7-0435-4998-a45e-51f0e75ce1f1,TaxAccRef,1940,771e4785-e52c-4abc-86fb-ac96df33033c,42
27605,ce347912-532e-42f8-8330-98b1a86a5404,NomRef,2298,9181a9bf-a9c5-44c9-9515-32af785f63e0,42
37702,3fecf106-09c8-4610-a0af-b52c3b6ebbfe,TaxAccRef,2904,c666e58d-be75-4a4b-8ae2-28d347e0c10f,42
34395,7fda4c98-eba6-4569-9fe3-63714a4d6330,TaxAccRef,1898,361c791f-6fd7-4bc7-b40d-64ed17402c46,42
28720,1fffb96d-a982-4407-9b3d-367aed7f99ae,NomRef,2365,11d04073-f0b9-4e3b-9943-a054c231d8df,42
34240,1d9a79ab-3d2c-45f0-8854-78b7c69fb266,TaxAccRef,1993,32c3ed59-ff55-4fb5-88a8-365e7324f2a0,42
33793,d2d99198-319d-48cb-b0d3-339a8c2072b0,TaxAccRef,1512,8b68e2bf-dc4c-4e49-9bc9-b48c45b76ba3,42
27499,8f70e1c9-149b-4ac0-8571-9fd31b53c8b1,NomRef,1755,4be022d4-160e-4359-bf8a-ed0183aabb6b,42
32315,d7f308f2-af29-418a-83c1-bc0531ace87e,NomRef,3852,ab7802cc-50b2-469f-9420-1bedc12e0d8e,25
33393,8954e385-2f4a-4022-8fce-6645c4949e3a,TaxAccRef,1671,bdb434f0-5c21-43bb-a237-544eb3be3f18,42
29461,f836a8d2-5656-4fee-bfb8-6d1f8985d075,NomRef,2535,bbb0913f-e12a-4bde-887a-188b8370cce5,42
36097,34ad90f5-ee3f-4726-92ca-4355605d289b,TaxAccRef,2538,8e4715e2-bf25-4424-b32d-6421bd61110c,42
35800,66fb927f-1c86-4bd9-a7d8-13af1178a217,TaxAccRef,1557,b4f792ed-b3f7-4114-be84-b13ec128956d,42
25904,430a8391-85dc-464c-a7bf-068b83048115,NomRef,628,5914c4ee-3dc5-4aeb-9279-23c72df4054b,48
